Fishes	Conger & garden eels	Splendid Garden Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Gorgasia	preclara 																																																																										
Fishes	Conger & garden eels	"Spotted Garden Eel, Spotted Garden-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Heteroconger	hassi 																																																																										
Fishes	Conger & garden eels	"Black Conger-eel, Luminous Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Lumiconger	arafura 																																																																										
Fishes	Conger & garden eels	Rubbernose Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Macrocephenchelys	brevirostris 																																																																										
Fishes	Conger & garden eels	Mottled Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Poeciloconger	kapala 																																																																										
Fishes	Conger & garden eels	Longnose Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Rhynchoconger	ectenurus 																																																																										
Fishes	Conger & garden eels	Ladder Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Scalanago	lateralis 																																																																										
Fishes	Conger & garden eels	Slender Conger	Animalia: Chordata: Actinopterygii	Anguilliformes	Congridae	Uroconger	lepturus 																																																																										
Fishes	Longneck eels	"Deepwater Neck Eel, Narrownecked Oceanic Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Derichthyidae	Derichthys	serpentinus 																																																																										
Fishes	Longneck eels	Dana Duckbill Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Derichthyidae	Nessorhamphus	danae 																																																																										
Fishes	Longneck eels	"Duckbilled Eel, Ingolf Duckbill Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Derichthyidae	Nessorhamphus	ingolfianus 																																																																										
Fishes	Spaghetti eels	Short Worm Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Moringuidae	Moringua	abbreviata 																																																																										
Fishes	Spaghetti eels	"Intermediate Thrush-eel, Rusty Worm Eel, Slender Worm-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Moringuidae	Moringua	ferruginea 																																																																										
Fishes	Spaghetti eels	"Java Thrush-eel, Javan Worm Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Moringuidae	Moringua	javanica 																																																																										
Fishes	Spaghetti eels	"Common Worm Eel, Spaghetti Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Moringuidae	Moringua	microchir 																																																																										
Fishes	Spaghetti eels	Swollengut Worm Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Moringuidae	Neoconger	tuberculatus 																																																																										
Fishes	Pike congers	"Common Pike Conger, Common Pike Eel, Common Pike-eel, Pike Eel, Silver Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenesocidae	Muraenesox	bagio 																																																																										
Fishes	Pike congers	"Daggertooth Pike Conger, Dark-finned Pike-eel, Darkfin Pike Eel, Pike Eel, Silver Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenesocidae	Muraenesox	cinereus 																																																																										
Fishes	Pike congers	"Bigeye Pike Eel, Large-eyed Pike-eel, Shorttail Pike Conger"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenesocidae	Oxyconger	leptognathus 																																																																										
Fishes	Moray eels	Allardice's Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Anarchias	allardicei 																																																																										
Fishes	Moray eels	"Canton Island Moray, Canton Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Anarchias	cantonensis 																																																																										
Fishes	Moray eels	"Fine-spotted Moray, Finespot Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Anarchias	leucurus 																																																																										
Fishes	Moray eels	Seychelles Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Anarchias	seychellensis 																																																																										
Fishes	Moray eels	"Bosch's Reef-eel, Clouded Eel, Clouded Moray, Clouded Reef Eel, Snowflake Moray, Starry Eel, Starry Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Echidna	nebulosa 																																																																										
Fishes	Moray eels	"Barred Moray, Girdled Moray, Girdled Reef Eel, Girdled Reef-eel, Ringed Moray, Zebra Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Echidna	polyzona 																																																																										
Fishes	Moray eels	"Pale Moray, Unicolor Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Echidna	unicolor 																																																																										
Fishes	Moray eels	"Bayer's Moray, Bowmouth Moray, Hookjaw Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Enchelycore	bayeri 																																																																										
Fishes	Moray eels	"Mosaic Eel, Mosaic Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Enchelycore	ramosa 																																																																										
Fishes	Moray eels	"Indo-Pacific Viper Moray, Longfang Moray, Toothy Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Enchelynassa	canina 																																																																										
Fishes	Moray eels	"Zebra Eel, Zebra Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnomuraena	zebra 																																																																										
Fishes	Moray eels	"Lord Howe Island Moray, Lord Howe Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	annasona 																																																																										
Fishes	Moray eels	Atoll Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	atolli 																																																																										
Fishes	Moray eels	Southern Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	austrinus 																																																																										
Fishes	Moray eels	"Lattice-tail Moray, Latticetail Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	buroensis 																																																																										
Fishes	Moray eels	Castle's Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	castlei 																																																																										
Fishes	Moray eels	"Head-spot Moray, Headspot Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	cephalospilus 																																																																										
Fishes	Moray eels	"Lipspot Moray, White-lipped Reef-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	chilospilus 																																																																										
Fishes	Moray eels	"Australian Moray, Brown-flecked Moray, Sieve Moray, Sieve-patterned Eel, Sieve-patterned Moray, Sieve-patterned Moray-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	cribroris 																																																																										
Fishes	Moray eels	"Enigmatic Moray, Tiger Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	enigmaticus 																																																																										
Fishes	Moray eels	"Abbott's Moray, Indo-Pacific Stout Moray, Spotted Moray, Stout Moray, White-speckled Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	eurostus 																																																																										
Fishes	Moray eels	"Black-blotched Moray, Black-blotched Reef-eel, Blackspotted Moray, Bukkaia, Coral Eel, Giraffe Eel, Honeycomb Moray, Tessellate Moray, Tessellated Eel, Tessellated Moray, Tessellated Reef-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	favagineus 																																																																										
Fishes	Moray eels	"Darkspotted Moray, Fimbriate Moray, Fimbriated Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	fimbriatus 																																																																										
Fishes	Moray eels	"Leopard Eel, Yellow Margin Moray, Yellow-edged Moray, Yellowmargin Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	flavimarginatus 																																																																										
Fishes	Moray eels	"Brownspotted Moray, Freckled Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	fuscomaculatus 																																																																										
Fishes	Moray eels	Slendertail Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	gracilicauda 																																																																										
